,kecamatan,kelurahan,latitude,longitude,status,total
0,SAMBUTAN,PULAU ATAS,-0.563386,117.220336,1,11
1,SAMARINDA SEBERANG,BAQA,-0.5086294,117.1381534,0,9
2,LOA JANAN ILIR,SIMPANG TIGA,-0.5725715,117.0931458,0,9
3,LOA JANAN ILIR,SIMPANG TIGA,-0.5756439,117.0939018,1,14
4,Sambutan,MAKROMAN,-0.5359999,117.2438094,1,11
5,PALARAN,BUKUAN,-0.5760551,117.2049578,0,10
6,PALARAN,RAWA MAKMUR,-0.5709968,117.1843523,0,8
7,SAMARINDA ILIR,SIDOMULYO,-0.494051,117.1599092,0,9
8,PALARAN,BUKUAN,-0.5757921,117.2050676,0,8
9,LOA JANAN ILIR,SIMPANG TIGA,-0.5869738,117.0976995,1,11
10,SAMARINDA ILIR,SELILI,-0.5783214,117.1995978,0,7
11,SAMBUTAN,PULAU ATAS,-0.563049,117.220536,0,10
12,SAMARINDA SEBERANG,SUNGAI KELEDANG,-0.5183186,117.1232375,1,15
13,PALARAN,BUKUAN,-0.575792,117.2050016,0,8
14,SAMARINDA UTARA,LEMPAKE,-0.4441892,117.2039398,0,10
15,LOA JANAN ILIR,SIMPANG TIGA,-0.5774287,117.0941895,1,12
16,LOA JANAN ILIR,SIMPANG TIGA,-0.5861025,117.0996622,1,11
17,SAMARINDA ILIR,SIDOMULYO,-0.4923924,117.1649518,0,10
18,SUNGAI KUNJANG,KARANG ASAM ULU,-0.522787,117.103999,0,10
19,LOA JANAN ILIR,HARAPAN BARU,-0.5442339,117.1071717,0,10
20,SAMARINDA UTARA,TANAH MERAH,-0.4382851,117.2195958,0,8
21,SUNGAI PINANG,BANDARA,-0.4873928,117.1569353,1,11
22,SUNGAI KUNJANG,LOA BAKUNG,-0.5461968,117.0829018,0,9
23,SAMARINDA KOTA,BUGIS,-0.4986869,117.1468609,0,9
24,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.475726,117.175688,0,8
25,SAMARINDA ILIR,SIDOMULYO,-0.4936959,117.1656082,1,11
26,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4427827,117.1580058,0,10
27,LOA JANAN ILIR,HARAPAN BARU,-0.5457052,117.1092459,1,13
28,SAMARINDA ILIR,SELILI,-0.5227493,117.1621924,0,9
29,SAMARINDA ILIR,SIDOMULYO,-0.4978987,117.1612883,1,13
30,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4252647,117.1674656,0,8
31,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4427872,117.1579475,0,10
32,SAMBUTAN,SINDANG SARI,-0.557231,117.2289142,1,14
33,SUNGAI KUNJANG,KARANG ASAM ULU,-0.521453,117.113545,1,11
34,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.483563,117.1617594,0,10
35,SUNGAI KUNJANG,TELUK LERONG ULU,-0.4939726,117.1283799,1,11
36,SAMARINDA UTARA,SEMPAJA BARAT,-0.4127578,117.1359955,1,12
37,SUNGAI PINANG,BANDARA,-0.484489,117.151992,1,15
38,SAMARINDA ILIR,SELILI,-0.5189086,117.1569004,1,13
39,PALARAN,SIMPANG PASIR,-0.560509,117.148587,0,7
40,SUNGAI KUNJANG,LOK BAHU,-0.4949984,117.0880642,0,8
41,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4475082,117.1574775,0,7
42,SUNGAI KUNJANG,KARANG ASAM ULU,-0.527065,117.110527,1,11
43,SAMARINDA UTARA,TANAH MERAH,-0.460231,117.206856,0,10
44,SAMARINDA SEBERANG,BAQA,-0.5093528,117.1379714,1,13
45,SAMARINDA ILIR,SELILI,-0.5180238,117.1620732,0,10
46,SAMARINDA SEBERANG,BAQA,-0.5093583,117.137968,1,11
47,SUNGAI KUNJANG,LOK BAHU,-0.492497,117.10204,0,8
48,SUNGAI KUNJANG,LOK BAHU,-0.4980006,117.1071442,1,13
49,SAMARINDA ILIR,SUNGAI DAMA,-0.5067167,117.163316,1,12
50,SAMARINDA ILIR,SIDOMULYO,-0.4968094,117.1644839,1,11
51,SAMARINDA SEBERANG,BAQA,-0.5065166,117.1387939,1,12
52,LOA JANAN ILIR,SIMPANG TIGA,-0.5773321,117.0971255,1,11
53,SAMARINDA SEBERANG,BAQA,-0.5098329,117.1455623,0,10
54,SAMARINDA ILIR,SELILI,-0.522737,117.1613758,0,9
55,SAMBUTAN,SUNGAI KAPIH,-0.5281693,117.1819199,1,13
56,SAMARINDA SEBERANG,SUNGAI KELEDANG,-0.520171,117.13186,0,10
57,SUNGAI KUNJANG,LOK BAHU,-0.494479,117.0877696,0,7
58,SUNGAI KUNJANG,LOK BAHU,-0.4976309,117.1072503,1,11
59,SAMARINDA SEBERANG,BAQA,-0.5096125,117.1380131,1,11
60,LOA JANAN ILIR,SIMPANG TIGA,-0.5685789,117.0888686,0,10
61,SAMARINDA ILIR,SIDOMULYO,-0.4913361,117.1596782,1,12
62,SAMBUTAN,SAMBUTAN,-0.5126218,117.206062,0,10
63,SAMARINDA ILIR,SIDOMULYO,-0.4937207,117.1644823,1,11
64,SAMBUTAN,SUNGAI KAPIH,-0.5285,117.1822411,1,11
65,LOA JANAN ILIR,SIMPANG TIGA,-0.56988,117.090499,0,9
66,SAMARINDA ILIR,SUNGAI DAMA,-0.5065716,117.1630108,1,11
67,SAMBUTAN,SAMBUTAN,-0.5095978,117.2064933,0,9
68,SAMBUTAN,MAKROMAN,-0.5226196,117.2301907,0,10
69,LOA JANAN ILIR,RAPAK DALAM,-0.5144459,117.1436731,1,11
70,SUNGAI KUNJANG,LOA BAKUNG,-0.5336928,117.092726,0,9
71,LOA JANAN ILIR,SIMPANG TIGA,-0.5767227,117.0938603,0,10
72,SAMARINDA ILIR,SUNGAI DAMA,-0.5068389,117.1629313,0,10
73,SAMARINDA ILIR,SUNGAI DAMA,-0.5055856,117.1622841,1,11
74,SAMARINDA ILIR,SIDOMULYO,-0.4931582,117.1655924,0,10
75,SUNGAI KUNJANG,KARANG ASAM ULU,-0.5193812,117.115629,0,10
76,SAMARINDA ILIR,SIDODAMAI,-0.4999815,117.1619747,1,12
77,SAMARINDA ILIR,SIDODAMAI,-0.4999375,117.1627624,1,11
78,SAMARINDA SEBERANG,BAQA,-0.5097433,117.1454697,1,12
79,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4765652,117.1753237,0,9
80,SUNGAI PINANG,BANDARA,-0.4820915,117.1520439,0,7
81,SUNGAI KUNJANG,KARANG ASAM ULU,-0.52291,117.10393,0,10
82,Samarinda Kota,SUNGAI PINANG LUAR,-0.4974083,117.1550784,0,5
83,SAMARINDA ILIR,SIDOMULYO,-0.4936684,117.1644418,1,11
84,SAMARINDA ILIR,SELILI,-0.5168004,117.1628272,1,11
85,SAMARINDA ULU,AIR HITAM,-0.462305,117.1353341,0,9
86,SUNGAI KUNJANG,KARANG ASAM ILIR,-0.5078066,117.1148638,1,12
87,LOA JANAN ILIR,SIMPANG TIGA,-0.5773125,117.0944957,1,11
88,SAMARINDA UTARA,LEMPAKE,-0.4441772,117.2038246,0,9
89,SAMARINDA SEBERANG,GUNUNG PANJANG,-0.5315293,117.1230226,0,10
90,PALARAN,BUKUAN,-0.5720845,117.2012151,1,11
91,SAMBUTAN,SAMBUTAN,-0.5081506,117.1703842,1,12
92,SUNGAI KUNJANG,KARANG ASAM ULU,-0.522559,117.103872,1,11
93,SAMARINDA ILIR,SIDOMULYO,-0.492162,117.16542,0,8
94,SAMARINDA ILIR,SUNGAI DAMA,-0.5061933,117.1637337,1,11
95,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4770354,117.1749705,1,12
96,SAMARINDA ILIR,SUNGAI DAMA,-0.5051567,117.161905,0,10
97,PALARAN,BUKUAN,-0.5822038,117.2129609,0,6
98,SAMARINDA UTARA,TANAH MERAH,-0.460299,117.196749,0,9
99,SAMARINDA ILIR,SELILI,-0.5239714,117.1688644,0,10
100,SAMARINDA UTARA,SEMPAJA UTARA,-0.4243353,117.1595921,0,8
101,SAMARINDA ILIR,SIDOMULYO,-0.498663,117.160883,1,11
102,SAMARINDA UTARA,TANAH MERAH,-0.460402,117.197886,0,10
103,SAMBUTAN,SUNGAI KAPIH,-0.5331621882741863,117.17044389455016,0,8
104,SAMBUTAN,MAKROMAN,-0.5613611,117.2274372,0,9
105,SUNGAI KUNJANG,KARANG ASAM ILIR,-0.507878,117.1149303,1,12
106,SAMBUTAN,SAMBUTAN,-0.501331,117.185475,0,8
107,SAMARINDA ILIR,SIDOMULYO,-0.4926203,117.1661152,1,11
108,SAMARINDA ILIR,SIDODAMAI,-0.503472,117.1635581,1,11
109,SAMARINDA UTARA,SEMPAJA UTARA,-0.4049278,117.1621723,0,10
110,PALARAN,SIMPANG PASIR,-0.574718,117.138069,1,12
111,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4469727,117.1560473,1,11
112,SAMARINDA UTARA,SEMPAJA UTARA,-0.407016,117.162244,0,9
113,SAMARINDA UTARA,SEMPAJA UTARA,-0.404935,117.16251,0,8
114,LOA JANAN ILIR,RAPAK DALAM,-0.5144396,117.1437151,0,10
115,SAMBUTAN,MAKROMAN,-0.5568476,117.2255578,1,11
116,SAMBUTAN,MAKROMAN,-0.555935,117.221548,1,12
117,SAMBUTAN,SAMBUTAN,-0.5104922,117.2101015,0,9
118,SAMARINDA ILIR,SIDOMULYO,-0.4950664,117.162714,0,9
119,SAMBUTAN,SAMBUTAN,-0.5210778,117.1982783,1,11
120,SAMARINDA UTARA,SEMPAJA UTARA,-0.404091,117.158362,0,9
121,SUNGAI KUNJANG,LOK BAHU,-0.4924963,117.1015355,1,11
122,SAMBUTAN,SUNGAI KAPIH,-0.5275856,117.1602397,0,10
123,SAMARINDA ILIR,SUNGAI DAMA,-0.5058074,117.1624136,0,9
124,SAMBUTAN,MAKROMAN,-0.5359459,117.2391213,0,9
125,SAMBUTAN,SUNGAI KAPIH,-0.5334098,117.1786717,1,11
126,LOA JANAN ILIR,RAPAK DALAM,-0.5148275,117.1438503,0,9
127,SAMARINDA UTARA,SEMPAJA UTARA,-0.405158,117.16124,0,9
128,SAMARINDA ILIR,SELILI,-0.5180659,117.1620607,1,13
129,SAMBUTAN,SUNGAI KAPIH,-0.533062761972874,117.17021979433156,0,10
130,SAMARINDA UTARA,SEMPAJA UTARA,-0.4048155,117.1619365,0,9
131,SAMBUTAN,SUNGAI KAPIH,-0.5337769,117.1790333,0,10
132,SAMARINDA KOTA,SUNGAI PINANG LUAR,-0.4926719,117.1560705,0,8
133,SAMARINDA ILIR,SUNGAI DAMA,-0.5059724,117.1615636,1,11
134,SAMARINDA ILIR,SUNGAI DAMA,-0.5070231,117.1633582,1,12
135,SAMARINDA UTARA,SEMPAJA UTARA,-0.403432,117.159883,0,9
136,SAMARINDA UTARA,SEMPAJA UTARA,-0.4071514,117.1620886,0,10
137,SAMARINDA ILIR,SELILI,-0.5230546,117.1615802,0,10
138,SAMARINDA UTARA,LEMPAKE,-0.4231479,117.1961895,0,9
139,SAMBUTAN,SAMBUTAN,-0.5225312,117.2006275,0,10
140,SUNGAI KUNJANG,TELUK LERONG ULU,-0.4939074026296152,117.12848108696532,0,7
141,SAMBUTAN,PULAU ATAS,-0.5411145,117.1961393,1,11
142,SAMBUTAN,SUNGAI KAPIH,-0.5337604,117.1789631,0,8
143,SAMBUTAN,MAKROMAN,-0.5470685,117.2277431,0,8
144,SAMARINDA UTARA,SEMPAJA UTARA,-0.404247,117.158534,0,9
145,SAMBUTAN,MAKROMAN,-0.560127,117.2274201,0,9
146,SAMBUTAN,SUNGAI KAPIH,-0.5378066374526276,117.17218972736194,1,11
147,SAMBUTAN,SUNGAI KAPIH,-0.5377577664690126,117.17228850470384,1,11
148,SAMARINDA ILIR,SUNGAI DAMA,-0.5057611,117.162147,1,11
149,PALARAN,BUKUAN,-0.5713123,117.1996525,0,10
150,SAMARINDA UTARA,SEMPAJA UTARA,-0.406673,117.162113,1,11
151,SAMBUTAN,SUNGAI KAPIH,-0.5330732,117.1654234,1,11
152,LOA JANAN ILIR,SIMPANG TIGA,-0.5686209,117.0897522,1,13
153,SAMARINDA UTARA,LEMPAKE,-0.4459072,117.1932534,1,11
154,SAMARINDA ILIR,SELILI,-0.5234346,117.1615957,0,10
155,SAMARINDA UTARA,LEMPAKE,-0.4082273,117.1868328,0,8
156,SAMARINDA KOTA,SUNGAI PINANG LUAR,-0.4955635,117.1564381,1,11
157,SAMARINDA UTARA,SEMPAJA UTARA,-0.404875,117.161543,0,10
158,SUNGAI KUNJANG,LOK BAHU,-0.4949087,117.0873058,1,13
159,SAMBUTAN,SUNGAI KAPIH,-0.5337581,117.178965,0,8
160,SAMARINDA UTARA,SEMPAJA UTARA,-0.406582,117.162056,0,8
161,SAMARINDA ILIR,SELILI,-0.5166519,117.1634335,1,11
162,SAMBUTAN,MAKROMAN,-0.516328,117.2379941,0,8
163,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4835826,117.1688387,1,13
164,SAMARINDA ILIR,SUNGAI DAMA,-0.505534,117.1634477,1,12
165,SAMARINDA UTARA,SEMPAJA UTARA,-0.386971,117.148189,0,10
166,SAMBUTAN,SINDANG SARI,-0.559412,117.229599,1,14
167,SAMARINDA ILIR,SELILI,-0.5168382,117.1631369,1,12
168,SAMBUTAN,SUNGAI KAPIH,-0.5377261656136867,117.1721331811331,0,10
169,SAMARINDA ILIR,SUNGAI DAMA,-0.5069276,117.163148,1,12
170,SAMBUTAN,SUNGAI KAPIH,-0.532613,117.170138,0,9
171,SAMARINDA UTARA,SEMPAJA UTARA,-0.404589,117.160833,0,10
172,SAMARINDA SEBERANG,TENUN SAMARINDA,-0.514194,117.146365,1,12
173,SAMBUTAN,SUNGAI KAPIH,-0.5381227725337181,117.17222912300558,1,12
174,SAMARINDA SEBERANG,MESJID,-0.5218917,117.1513503,0,9
175,PALARAN,RAWA MAKMUR,-0.5583647,117.1662768,0,10
176,PALARAN,RAWA MAKMUR,-0.5729418,117.1757975,0,10
177,SAMARINDA ILIR,SUNGAI DAMA,-0.507642,117.164776,1,13
178,SAMARINDA ILIR,SUNGAI DAMA,-0.5062881,117.1636282,0,9
179,SAMBUTAN,SUNGAI KAPIH,-0.5377150199918863,117.17251163122444,0,10
180,SAMARINDA ILIR,SUNGAI DAMA,-0.5072126,117.16433,0,9
181,PALARAN,RAWA MAKMUR,-0.5587723,117.1662788,0,10
182,SAMARINDA UTARA,SEMPAJA SELATAN,-0.468308,117.166528,1,14
183,SUNGAI KUNJANG,TELUK LERONG ULU,-0.4938000200167683,117.12809908365142,0,10
184,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4766041,117.175023,0,10
185,LOA JANAN ILIR,SIMPANG TIGA,-0.5686041,117.0897254,1,11
186,SAMARINDA UTARA,LEMPAKE,-0.433262,117.179203,1,12
187,SAMARINDA ILIR,SELILI,-0.520735,117.1618834,0,9
188,PALARAN,RAWA MAKMUR,-0.5790344,117.1820951,0,10
189,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4770135,117.1749939,0,10
190,SAMBUTAN,MAKROMAN,-0.5304072,117.2221987,0,9
191,SAMBUTAN,SUNGAI KAPIH,-0.5345908,117.1774867,0,10
192,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4766455,117.1748715,0,10
193,SAMARINDA UTARA,SEMPAJA UTARA,-0.401525,117.160227,0,10
194,LOA JANAN ILIR,RAPAK DALAM,-0.5237072,117.1382139,1,12
195,SUNGAI PINANG,MUGIREJO,-0.479154,117.183689,1,11
196,PALARAN,SIMPANG PASIR,-0.548486,117.153472,1,11
197,SAMARINDA UTARA,SEMPAJA UTARA,-0.404269,117.159167,0,8
198,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4470249,117.1562074,0,10
199,SAMARINDA SEBERANG,GUNUNG PANJANG,-0.5177336,117.127216,0,10
200,SAMARINDA UTARA,SEMPAJA UTARA,-0.404876,117.16253,0,7
201,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.47433,117.1756811,1,11
202,SAMARINDA UTARA,SEMPAJA SELATAN,-0.458147,117.1481195,0,10
203,SAMBUTAN,SAMBUTAN,-0.5079297,117.1671712,0,9
204,SUNGAI KUNJANG,KARANG ASAM ULU,-0.516375,117.115918,1,15
205,SAMARINDA UTARA,SEMPAJA BARAT,-0.44761196221883587,117.1497160961857,0,10
206,SAMARINDA ILIR,SIDOMULYO,-0.4920106,117.1662685,1,11
207,SAMARINDA ILIR,SELILI,-0.5161051,117.1580396,1,12
208,SAMBUTAN,MAKROMAN,-0.5441711,117.2281106,1,12
209,SAMARINDA ILIR,SUNGAI DAMA,-0.5063037,117.1636117,1,11
210,SAMARINDA UTARA,LEMPAKE,-0.4082275,117.1868305,0,9
211,PALARAN,BUKUAN,-0.572429,117.2010153,0,8
212,SAMBUTAN,PULAU ATAS,-0.5642582,117.2189302,1,13
213,SAMARINDA ILIR,SIDOMULYO,-0.4921682,117.1660094,0,10
214,SAMARINDA UTARA,TANAH MERAH,-0.460761,117.198461,1,12
215,SAMARINDA UTARA,SEMPAJA SELATAN,-0.4646190196343706,117.16015031308837,0,10
216,SAMBUTAN,MAKROMAN,-0.5128236,117.2393682,0,10
217,SAMBUTAN,SUNGAI KAPIH,-0.5271713,117.1610189,0,9
218,SAMARINDA UTARA,LEMPAKE,-0.4328806,117.179311,1,12
219,SAMARINDA UTARA,SEMPAJA UTARA,-0.385533,117.150187,0,8
220,SAMBUTAN,SAMBUTAN,-0.5016734,117.1849964,1,11
221,SAMBUTAN,SUNGAI KAPIH,-0.5380490878397084,117.1722291196748,0,9
222,SAMARINDA ILIR,SUNGAI DAMA,-0.5068643,117.1629388,1,12
223,SAMBUTAN,PULAU ATAS,-0.563765,117.226345,0,10
224,SAMARINDA UTARA,SEMPAJA UTARA,-0.399787,117.157149,0,9
225,SAMBUTAN,SUNGAI KAPIH,-0.5365233,117.1760903,1,11
226,SAMBUTAN,SINDANG SARI,-0.5599332,117.2294238,1,11
227,SAMBUTAN,MAKROMAN,-0.516328,117.2382724,0,8
228,LOA JANAN ILIR,SIMPANG TIGA,-0.5684021,117.0899501,0,8
229,SAMARINDA ULU,AIR HITAM,-0.4758978364486526,117.1343729589354,0,9
230,LOA JANAN ILIR,SIMPANG TIGA,-0.5765532,117.0857476,1,14
231,SAMARINDA ILIR,SIDOMULYO,-0.487483,117.163,1,12
232,SAMARINDA UTARA,SEMPAJA UTARA,-0.4082475,117.1623266,0,9
233,SAMARINDA ILIR,SUNGAI DAMA,-0.5054002,117.1619714,1,12
234,SUNGAI KUNJANG,KARANG ASAM ULU,-0.516225,117.115297,1,14
235,SAMARINDA UTARA,SEMPAJA UTARA,-0.377596,117.1485,0,9
236,SAMBUTAN,SUNGAI KAPIH,-0.5378723088513657,117.1725080045081,0,10
237,SAMBUTAN,SUNGAI KAPIH,-0.5381720909497386,117.17268276479398,0,10
238,SAMARINDA UTARA,LEMPAKE,-0.454039,117.1928211,1,11
239,SAMARINDA UTARA,SEMPAJA SELATAN,-0.4674842958876771,117.1604483260282,1,12
240,SAMARINDA SEBERANG,MESJID,-0.5148676,117.1502494,0,10
241,SAMARINDA ILIR,SUNGAI DAMA,-0.5057126,117.1622334,1,12
242,SAMARINDA ILIR,SUNGAI DAMA,-0.507721,117.164545,1,11
243,LOA JANAN ILIR,RAPAK DALAM,-0.514312,117.143741,1,13
244,SAMARINDA ULU,AIR HITAM,-0.4616035725201577,117.13501440584623,0,9
245,SAMBUTAN,SUNGAI KAPIH,-0.5381624150182414,117.17352040824149,1,13
246,SAMARINDA UTARA,LEMPAKE,-0.408455,117.186872,1,11
247,SAMBUTAN,PULAU ATAS,-0.5643032,117.2190264,1,12
248,SAMARINDA ILIR,SIDODAMAI,-0.5038115,117.163991,1,11
249,SAMARINDA ILIR,SUNGAI DAMA,-0.506746,117.160517,1,11
250,SAMARINDA ILIR,SUNGAI DAMA,-0.5054124,117.1621362,0,10
251,SAMARINDA UTARA,SEMPAJA UTARA,-0.382199,117.147205,0,7
252,PALARAN,SIMPANG PASIR,-0.548617,117.153284,0,8
253,SAMARINDA UTARA,SEMPAJA UTARA,-0.407313,117.1615076,0,10
254,SUNGAI KUNJANG,KARANG ASAM ULU,-0.5191593,117.115656,1,12
255,SAMARINDA UTARA,SEMPAJA UTARA,-0.407522,117.161656,1,11
256,SAMARINDA UTARA,LEMPAKE,-0.4536996,117.1927851,0,10
257,SAMARINDA UTARA,SEMPAJA UTARA,-0.4082527,117.1626525,0,7
258,SAMARINDA UTARA,SEMPAJA UTARA,-0.401797,117.161161,0,10
259,SUNGAI KUNJANG,LOK BAHU,-0.4980772,117.1067175,0,8
260,LOA JANAN ILIR,RAPAK DALAM,-0.514703,117.143649,1,12
261,SAMARINDA UTARA,SEMPAJA UTARA,-0.408368,117.162057,0,10
262,SAMARINDA UTARA,TANAH MERAH,-0.46108,117.198681,0,9
263,SAMARINDA UTARA,SEMPAJA SELATAN,-0.465628,117.157067,1,13
264,SAMBUTAN,SINDANG SARI,-0.558101,117.23056,1,11
265,SAMBUTAN,SINDANG SARI,-0.5618307,117.2284777,1,11
266,SAMARINDA UTARA,LEMPAKE,-0.4081754,117.1873603,0,10
267,Sungai Kunjang,LOK BAHU,-0.493266,117.084404,0,8
268,LOA JANAN ILIR,SIMPANG TIGA,-0.5689701,117.0897011,0,10
269,SAMARINDA UTARA,SEMPAJA UTARA,-0.4051373,117.1612191,0,7
270,SAMARINDA ILIR,SUNGAI DAMA,-0.503659,117.159393,1,12
271,SAMARINDA UTARA,SEMPAJA BARAT,-0.4398826,117.1524437,0,9
272,SAMARINDA ILIR,SUNGAI DAMA,-0.5068076,117.1629012,1,13
273,Sambutan,SAMBUTAN,-0.501651,117.207325,0,10
274,SAMBUTAN,SAMBUTAN,-0.4954192,117.1986045,1,12
275,SAMBUTAN,PULAU ATAS,-0.5645707,117.2187904,1,14
276,SAMARINDA ILIR,SUNGAI DAMA,-0.5068387,117.1610549,1,12
277,SAMARINDA ILIR,SIDODAMAI,-0.5038113,117.1639869,0,9
278,SAMBUTAN,SUNGAI KAPIH,-0.5271875,117.160297,1,13
279,LOA JANAN ILIR,RAPAK DALAM,-0.5146997,117.1435282,1,12
280,LOA JANAN ILIR,RAPAK DALAM,-0.514237,117.143606,0,10
281,SAMARINDA UTARA,LEMPAKE,-0.4228849,117.1990706,0,9
282,LOA JANAN ILIR,SIMPANG TIGA,-0.5690113,117.0877284,0,10
283,SUNGAI KUNJANG,KARANG ASAM ULU,-0.51835,117.114051,1,11
284,SAMARINDA UTARA,SEMPAJA UTARA,-0.403573,117.160668,0,8
285,SAMARINDA ILIR,SELILI,-0.5137623,117.1637205,0,10
286,SAMARINDA SEBERANG,SUNGAI KELEDANG,-0.518298,117.132786,0,9
287,SAMARINDA UTARA,SEMPAJA BARAT,-0.4480608429647075,117.14797011258632,0,10
288,SAMARINDA UTARA,SEMPAJA BARAT,-0.4391839,117.1508259,0,9
289,SUNGAI KUNJANG,LOK BAHU,-0.490828,117.083473,1,12
290,SUNGAI KUNJANG,LOK BAHU,-0.4917535,117.0837334,1,13
291,SAMARINDA ILIR,SUNGAI DAMA,-0.507751,117.164737,1,12
292,SUNGAI KUNJANG,KARANG ASAM ULU,-0.5192517,117.1151927,1,11
293,SAMARINDA UTARA,LEMPAKE,-0.454489,117.1934188,1,11
294,SAMARINDA UTARA,TANAH MERAH,-0.4612358,117.1986043,1,11
295,SUNGAI KUNJANG,LOA BUAH,-0.55843,117.080578,1,13
296,SAMARINDA ILIR,SIDOMULYO,-0.4934381,117.1640687,1,12
297,SAMARINDA ILIR,SIDODAMAI,-0.5038024,117.1640479,1,11
298,SAMBUTAN,MAKROMAN,-0.5133,117.2418467,1,11
299,PALARAN,BUKUAN,-0.5842691,117.2142849,0,10
300,SAMBUTAN,SUNGAI KAPIH,-0.5386219147297256,117.17309887111732,0,10
301,SAMBUTAN,SINDANG SARI,-0.561424,117.228611,0,10
302,SUNGAI KUNJANG,KARANG ASAM ILIR,-0.5090666,117.1163554,1,14
303,SAMBUTAN,SUNGAI KAPIH,-0.5366954,117.1764406,0,6
304,LOA JANAN ILIR,RAPAK DALAM,-0.514204,117.143879,0,10
305,SAMARINDA ULU,AIR HITAM,-0.4665599,117.1388918,1,12
306,SAMARINDA UTARA,SEMPAJA UTARA,-0.403043,117.159514,0,9
307,SAMBUTAN,SINDANG SARI,-0.561448,117.229174,1,13
308,SAMBUTAN,SAMBUTAN,-0.5122499,117.2063572,0,8
309,SAMBUTAN,PULAU ATAS,0.539503,117.194788,1,11
310,SAMBUTAN,MAKROMAN,-0.5439324,117.2282437,0,10
311,LOA JANAN ILIR,SIMPANG TIGA,-0.5690568,117.0897856,1,11
312,SUNGAI KUNJANG,KARANG ASAM ULU,-0.5192642,117.1152029,0,10
313,SAMBUTAN,SAMBUTAN,-0.5067729,117.1674121,1,13
314,SAMBUTAN,SINDANG SARI,-0.5576055,117.2305075,0,9
315,SAMBUTAN,SAMBUTAN,-0.5125106,117.1798515,1,11
316,SAMARINDA UTARA,LEMPAKE,-0.4082281,117.1868089,1,12
317,SAMARINDA ILIR,SIDOMULYO,-0.497098,117.16098,0,10
318,SAMBUTAN,SAMBUTAN,-0.5103378,117.2063131,0,10
319,SAMARINDA ILIR,SIDOMULYO,-0.4924992,117.1628652,0,10
320,SAMBUTAN,SINDANG SARI,-0.561636,117.228606,1,11
321,SAMBUTAN,PULAU ATAS,-0.5632306,117.225975,1,12
322,SAMBUTAN,SAMBUTAN,-0.5153713,117.1668001,0,10
323,SAMARINDA SEBERANG,BAQA,-0.5084366,117.1374982,0,10
324,SAMBUTAN,SUNGAI KAPIH,-0.5381383799525084,117.17366859253708,0,9
325,SAMBUTAN,PULAU ATAS,-0.5648302,117.2188059,1,11
326,LOA JANAN ILIR,RAPAK DALAM,-0.51418,117.143829,0,10
327,SAMBUTAN,MAKROMAN,-0.5240636,117.2301961,1,13
328,SAMARINDA ILIR,SUNGAI DAMA,-0.507664,117.164548,1,12
329,SAMBUTAN,SINDANG SARI,-0.56168,117.228567,1,11
330,LOA JANAN ILIR,SIMPANG TIGA,-0.569025,117.0897661,0,9
331,PALARAN,BUKUAN,-0.5728185,117.2013904,0,8
332,SAMARINDA UTARA,TANAH MERAH,-0.4353578195457437,117.2215806019243,1,11
333,PALARAN,RAWA MAKMUR,-0.5773091,117.1786729,1,12
334,SAMARINDA SEBERANG,MANGKUPALAS,-0.530331,117.149531,1,11
335,LOA JANAN ILIR,SIMPANG TIGA,-0.5748147,117.0942272,0,10
336,SAMBUTAN,MAKROMAN,-0.5149244,117.2369301,1,11
337,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4844802,117.1670113,0,10
338,SAMARINDA UTARA,TANAH MERAH,-0.460769,117.197231,0,9
339,SAMARINDA SEBERANG,GUNUNG PANJANG,-0.5480582,117.1199753,0,10
340,SAMARINDA ULU,AIR HITAM,-0.4714527,117.136383,1,12
341,SUNGAI KUNJANG,LOA BUAH,-0.5492362,117.0679462,1,11
342,SAMARINDA UTARA,SEMPAJA UTARA,-0.407286,117.1615112,0,9
343,PALARAN,BUKUAN,-0.5853316,117.2160492,1,11
344,SAMBUTAN,SAMBUTAN,-0.5064447,117.1710508,0,10
345,SAMBUTAN,SAMBUTAN,-0.4950736,117.1956089,0,10
346,SAMARINDA UTARA,TANAH MERAH,-0.460848,117.19397,0,9
347,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.4842992,117.1671409,1,13
348,SAMBUTAN,SUNGAI KAPIH,-0.5383276931368841,117.17311580273386,1,12
349,SAMBUTAN,SUNGAI KAPIH,-0.5261853036907992,117.16020440467696,1,13
350,SAMARINDA SEBERANG,BAQA,-0.5111781,117.1377117,1,11
